grid_id,row,col,sub_row,sub_col,min_lon,min_lat,max_lon,max_lat,centroid_lon,centroid_lat,public_count,private_count,facilities_count,traffic_sum,traffic_sum_imputed,enforcement_sum,score_facilities,score_traffic,score_enforcement,congestion_score_raw,congestion_score,congestion_score_100,congestion_score_100_local
g70_sr0sc2,8,3,0,2,127.10524454805321,36.82239233029423,127.10846847917009,36.82498417917569,127.10685653985333,36.823688260584376,0,0,0,0.0,5460.427419354839,385.0,0.0,0.0,0.308963967578846,0.10298798919294866,0.23466166055124155,2.3466166055124154,2.3466166055124154
g70_sr0sc3,8,3,0,3,127.10840590313913,36.82244267736577,127.11162973767264,36.82503444688144,127.1100178466476,36.82373856797498,0,1,0,0.0,5460.427419354839,3012.0,0.0,0.0,2.4171414814220364,0.8057138271406789,1.8358465495593235,18.358465495593236,18.358465495593236
g70_sr0sc4,8,3,0,4,127.1115672660714,36.82249294045293,127.11479100400749,36.82508463059445,127.11317916128118,36.82378879137703,0,0,0,21192.354838709678,21192.354838709678,333.0,0.0,1.7671697386445846,0.26723376936040444,0.6781345026683296,1.54515268935978,15.4515268935978,15.4515268935978
g70_sr0sc5,8,3,0,5,127.11472863683704,36.82254311955508,127.1179522781616,36.82513473031408,127.11634048374107,36.82383893078987,0,0,0,0.0,5460.427419354839,15.0,0.0,0.0,0.012037557178396597,0.004012519059465532,0.009142662099399021,0.09142662099399022,0.09142662099399022
g70_sr0sc6,8,3,0,6,127.11789001542293,36.82259321467154,127.12111356012187,36.82518474603966,127.11950181401423,36.82388898621285,0,0,0,0.0,5460.427419354839,254.0,0.0,0.0,0.20383596822084904,0.06794532274028302,0.15481574488315678,1.5481574488315677,1.5481574488315677
g70_sr0sc7,8,3,0,7,127.121051401816,36.82264322580166,127.12427484987519,36.82523467777055,127.12266315208743,36.82393895764531,0,0,1,0.0,5460.427419354839,110.0,2.0,0.0,0.0882754193082417,0.6960918064360806,1.5860690210037423,15.860690210037424,15.860690210037424
g70_sr0sc8,8,3,0,8,127.12421279600316,36.8226931529448,127.12743614740855,36.825284525506106,127.12582449794772,36.82398884508662,0,0,0,0.0,5460.427419354839,81.0,0.0,0.0,0.06500280876334162,0.021667602921113874,0.049370375336754715,0.4937037533675472,0.4937037533675472
g70_sr0sc9,8,3,0,9,127.12737419797133,36.82274299610033,127.1305974527088,36.82533428924565,127.12898585158194,36.824038648536124,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g70_sr1sc0,8,3,1,0,127.10063976308801,36.8252119947246,127.10207508246172,36.82742488315731,127.10155149554326,36.82660454258579,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g70_sr1sc1,8,3,1,1,127.10202040806685,36.82488382514513,127.10524454805321,36.82747532348088,127.10363571039757,36.82618169123058,0,0,0,0.0,5460.427419354839,4.0,0.0,0.0,0.0032100152475724258,0.001070005082524142,0.0024380432265064056,0.024380432265064058,0.024380432265064058
g70_sr1sc2,8,3,1,2,127.10518185973402,36.82493382747785,127.10840590313913,36.827525679805326,127.10679390768148,36.82622975949156,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g70_sr1sc3,8,3,1,3,127.1083433192617,36.82498417917569,127.1115672660714,36.82757595212997,127.1099553189115,36.82628007150476,0,0,1,0.0,5460.427419354839,270.0,2.0,0.0,0.21667602921113874,0.7388920097370463,1.6835907500639986,16.835907500639987,16.835907500639987
g70_sr1sc4,8,3,1,4,127.11150478663684,36.82503444688144,127.11472863683704,36.827626140454164,127.11311673798191,36.82633029952169,0,0,0,0.0,5460.427419354839,166.0,0.0,0.0,0.13321563277425566,0.04440521092475189,0.10117879390001583,1.0117879390001583,1.0117879390001583
g70_sr1sc5,8,3,1,5,127.11466626184632,36.82508463059445,127.11789001542293,36.827676244777244,127.11627816487966,36.82638044354171,0,0,0,0.0,5460.427419354839,46.0,0.0,0.0,0.0369151753470829,0.012305058449027633,0.02803749710482367,0.28037497104823667,0.28037497104823667
g70_sr1sc6,8,3,1,6,127.11782774487709,36.82513473031408,127.121051401816,36.82772626509858,127.11943959959159,36.82643050356415,0,0,0,0.0,5460.427419354839,2.0,0.0,0.0,0.0016050076237862129,0.000535002541262071,0.0012190216132532028,0.012190216132532029,0.012190216132532029
g70_sr1sc7,8,3,1,7,127.12098923571604,36.82518474603966,127.12421279600316,36.82777620141751,127.12260104210469,36.82648047958836,0,0,0,0.0,5460.427419354839,478.0,0.0,0.0,0.38359682208490486,0.12786560736163496,0.29134616556751547,2.913461655675155,2.913461655675155
g70_sr1sc8,8,3,1,8,127.12415073435011,36.82523467777055,127.12737419797133,36.82782605373339,127.12576249240583,36.82653037161371,0,0,0,0.0,5460.427419354839,63.0,0.0,0.0,0.05055774014926571,0.016852580049755237,0.03839918081747589,0.3839918081747589,0.3839918081747589
g70_sr1sc9,8,3,1,9,127.1273122407662,36.825284525506106,127.13053560770744,36.82787582204556,127.12892395048192,36.82658017963952,0,1,0,0.0,5460.427419354839,237.0,0.0,0.0,0.19019340341866622,0.06339780113955541,0.14445406117050455,1.4445406117050454,1.4445406117050454
g70_sr2sc0,8,3,2,0,127.10089172837142,36.827406854922536,127.10202040806685,36.82996637334509,127.10168488099869,36.82854872244231,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
